source_user_id,target_user_id
U00054,U00290
U00271,U00081
U00255,U00106
U00229,U00270
U00360,U00413
U00441,U00065
U00070,U00396
U00058,U00142
U00268,U00363
U00236,U00328
U00147,U00251
U00406,U00222
U00335,U00376
U00428,U00145
U00065,U00405
U00494,U00363
U00420,U00277
U00382,U00330
U00174,U00499
U00422,U00382
U00241,U00374
U00387,U00331
U00417,U00407
U00268,U00090
U00026,U00110
U00255,U00045
U00431,U00059
U00050,U00439
U00417,U00305
U00429,U00001
U00248,U00378
U00358,U00324
U00423,U00342
U00404,U00133
U00455,U00199
U00486,U00079
U00057,U00002
U00039,U00430
U00032,U00149
U00354,U00089
U00411,U00068
U00278,U00124
U00076,U00196
U00161,U00311
U00222,U00380
U00377,U00210
U00349,U00020
U00431,U00424
U00268,U00308
U00466,U00440
U00130,U00362
U00344,U00315
U00472,U00365
U00157,U00098
U00420,U00387
U00093,U00181
U00052,U00057
U00439,U00409
U00458,U00371
U00462,U00408
U00341,U00099
U00343,U00447
U00080,U00174
U00454,U00124
U00240,U00187
U00369,U00418
U00198,U00107
U00300,U00151
U00445,U00019
U00386,U00323
U00143,U00175
U00103,U00167
U00231,U00164
U00157,U00416
U00028,U00129
U00171,U00488
U00458,U00397
U00171,U00153
U00013,U00459
U00390,U00418
U00043,U00121
U00168,U00296
U00157,U00481
U00111,U00478
U00466,U00333
U00118,U00284
U00233,U00101
U00424,U00311
U00157,U00246
U00259,U00220
U00345,U00246
U00389,U00225
U00154,U00021
U00322,U00113
U00266,U00063
U00037,U00404
U00135,U00376
U00393,U00386
U00191,U00441
U00434,U00417
U00389,U00238
U00311,U00354
U00225,U00014
U00068,U00278
U00402,U00107
U00228,U00481
U00084,U00470
U00056,U00047
U00497,U00087
U00391,U00319
U00021,U00056
U00157,U00279
U00499,U00408
U00492,U00457
U00045,U00422
U00353,U00332
U00076,U00418
U00253,U00493
U00407,U00080
U00012,U00035
U00222,U00303
U00468,U00183
U00332,U00365
U00029,U00420
U00021,U00199
U00108,U00127
U00207,U00369
U00063,U00288
U00087,U00018
U00278,U00359
U00187,U00231
U00004,U00121
U00046,U00002
U00009,U00329
U00333,U00409
U00069,U00233
U00340,U00291
U00249,U00024
U00442,U00152
U00273,U00497
U00136,U00259
U00052,U00367
U00210,U00149
U00365,U00175
U00098,U00415
U00273,U00159
U00272,U00154
U00446,U00095
U00161,U00441
U00252,U00050
U00338,U00177
U00310,U00077
U00193,U00385
U00027,U00286
U00025,U00231
U00444,U00405
U00181,U00190
U00418,U00154
U00309,U00268
U00369,U00491
U00052,U00339
U00448,U00105
U00028,U00058
U00406,U00341
U00370,U00465
U00037,U00173
U00245,U00108
U00107,U00063
U00298,U00127
U00247,U00072
U00008,U00000
U00320,U00182
U00283,U00309
U00395,U00493
U00041,U00475
U00492,U00425
U00383,U00381
U00431,U00494
U00384,U00277
U00203,U00328
U00099,U00427
U00402,U00258
U00141,U00107
U00211,U00244
U00481,U00427
U00368,U00044
U00046,U00106
U00031,U00086
U00390,U00008
U00441,U00084
U00462,U00401
U00345,U00081
U00249,U00091
U00312,U00462
U00161,U00300
U00114,U00430
U00416,U00172
U00466,U00197
U00449,U00234
U00156,U00111
U00350,U00167
U00262,U00185
U00325,U00343
U00057,U00123
U00007,U00084
U00152,U00057
U00016,U00454
U00312,U00407
U00296,U00219
U00032,U00105
U00128,U00207
U00410,U00327
U00348,U00450
U00304,U00048
U00379,U00231
U00316,U00430
U00249,U00067
U00267,U00468
U00011,U00216
U00293,U00021
U00056,U00000
U00260,U00426
U00307,U00216
U00252,U00307
U00264,U00255
U00146,U00338
U00087,U00274
U00327,U00385
U00057,U00038
U00322,U00117
U00212,U00165
U00434,U00193
U00057,U00258
U00439,U00272
U00160,U00045
U00071,U00221
U00140,U00133
U00066,U00457
U00336,U00180
U00078,U00480
U00444,U00470
U00017,U00060
U00290,U00207
U00003,U00109
U00459,U00202
U00383,U00128
U00145,U00433
U00031,U00021
U00476,U00350
U00280,U00164
U00283,U00062
U00383,U00333
U00448,U00363
U00204,U00367
U00271,U00069
U00361,U00146
U00076,U00342
U00260,U00395
U00359,U00462
U00218,U00406
U00238,U00246
U00249,U00202
