user_id,post_id
U00059,P00176
U00046,P00145
U00045,P00166
U00071,P00118
U00001,P00012
U00046,P00033
U00003,P00158
U00098,P00074
U00067,P00171
U00008,P00041
U00093,P00035
U00019,P00107
U00062,P00117
U00079,P00042
U00063,P00177
U00086,P00010
U00010,P00095
U00013,P00182
U00089,P00051
U00044,P00110
U00048,P00137
U00066,P00071
U00077,P00153
U00046,P00127
U00062,P00190
U00070,P00184
U00071,P00186
U00057,P00068
U00027,P00027
U00064,P00108
U00042,P00138
U00059,P00151
U00035,P00045
U00052,P00178
U00051,P00093
U00085,P00024
U00052,P00010
U00075,P00132
U00076,P00091
U00085,P00143
U00074,P00150
U00076,P00105
U00064,P00044
U00089,P00047
U00010,P00094
U00048,P00054
U00079,P00126
U00001,P00125
U00018,P00104
U00020,P00047
U00026,P00161
U00064,P00126
U00096,P00078
U00038,P00161
U00041,P00004
U00042,P00042
U00077,P00105
U00002,P00169
U00003,P00026
U00033,P00186
U00059,P00154
U00086,P00079
U00019,P00131
U00063,P00173
U00046,P00161
U00074,P00072
U00041,P00003
U00050,P00111
U00037,P00153
U00090,P00164
U00073,P00171
U00072,P00050
U00056,P00149
U00071,P00183
U00000,P00177
U00089,P00107
U00098,P00163
U00040,P00000
U00071,P00069
U00029,P00041
U00019,P00137
U00023,P00118
U00012,P00193
U00034,P00056
U00004,P00034
U00098,P00014
U00003,P00166
U00091,P00065
U00087,P00177
U00003,P00094
U00068,P00084
U00004,P00005
U00048,P00197
U00065,P00002
U00084,P00195
U00069,P00051
U00088,P00134
U00079,P00188
U00014,P00193
U00012,P00063
U00030,P00115
U00086,P00081
U00045,P00129
U00025,P00061
U00011,P00139
U00096,P00071
U00051,P00194
U00057,P00102
U00007,P00140
U00015,P00176
U00045,P00035
U00079,P00002
U00025,P00067
U00011,P00017
U00099,P00072
U00039,P00078
U00043,P00166
U00016,P00072
U00019,P00074
U00016,P00059
U00035,P00022
U00014,P00080
U00057,P00177
U00037,P00088
U00083,P00086
